Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
"3,054",NWR-1999-1144,Campground Maintenance,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilice and Hood Canal Ranger Districts (Jefferson County),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,055",NWR-1999-1144,Campground Maintenance,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilice and Hood Canal Ranger Districts (Jefferson County),,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,056",NWR-1999-1145,Trail Maintenance,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,057",NWR-1999-1145,Trail Maintenance,Informal,Completed,"ESA-S7, Informal",,"Jul 21, 1999 12:00:00 AM",1999-07-21,1999-08-20,2000-05-10,,,,,,"Salmon, chum",Hood Canal summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Quilcene and Hood Canal Ranger Districts,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Donnelly, Robert"
"3,058",NWR-1999-1146,Tyee Springs 199900706,Informal,Completed,"ESA-S7, Informal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-08-22,1999-08-03,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Skamania County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Longenbaugh, Matt"
"3,059",NWR-1999-1146,Tyee Springs 199900706,Informal,Completed,"ESA-S7, Informal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-08-22,1999-08-03,,,,,,"Salmon, chum",Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Skamania County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Longenbaugh, Matt"
"3,060",NWR-1999-1146,Tyee Springs 199900706,Informal,Completed,"ESA-S7, Informal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-08-22,1999-08-03,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Skamania County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Longenbaugh, Matt"
"3,061",NWR-1999-1146,Tyee Springs 199900706,Informal,Completed,"ESA-S7, Informal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-08-22,1999-08-03,,,,,,"Trout, cutthroat",Southwestern Washington/Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Skamania County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Longenbaugh, Matt"
"3,062",NWR-1999-1148,"1998-2-02230, Redmond Public Works",Informal,Completed,"ESA-S7, Informal",,"Jul 26, 1999 12:00:00 AM",,,1999-12-15,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Technical Assistance Provided,,Technical Assistance Provided,,,,,,,,,"Redmond, WA (King County)",,,NWR,"Seattle, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Kirkpatrick, DeeAnn"
"3,063",NWR-1999-1149,SR12 Dry Creek Bridge 12/657 - Walla Walla County,Informal,Completed,"ESA-S7, Informal",,"Jul 28, 1999 12:00:00 AM",1999-07-28,1999-08-27,1999-08-09,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Walla Walla County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Eastern Washington Habitat Branch","Guy, Dan"
"3,064",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,065",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, Chinook",Snake River fall-run,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,066",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, Chinook",Snake River spring/summer-run,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,067",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, Chinook",Upper Columbia River spring-run,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,068",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,069",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, chum",Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,070",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Salmon, sockeye",Snake River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,071",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,Steelhead,Lower Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,072",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,Steelhead,Middle Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,073",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,Steelhead,Snake River Basin,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,074",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,Steelhead,Upper Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,075",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,Steelhead,Upper Willamette River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,076",NWR-1999-1150,Columbia River Navigation Channel Operation and Maintenance Dredging,Formal,Completed,"ESA-S7, Formal",,"Feb 11, 1999 12:00:00 AM",1999-02-11,1999-06-26,1999-09-15,,,,,,"Trout, cutthroat",Southwestern Washington/Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia river from mouth to John Day Dam,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,077",NWR-1999-1151,"Clatsop Care Center Health District Fishing Wharf, Columbia River Estuary, Clatsop County",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-12,1999-08-10,1999-08-04,,,,,,"Salmon, chum",Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Columbia River, Youngs Bay, Astoria OR",,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,078",NWR-1999-1152,"Issuance of a Permit for Tribal Wastewater Treatment Plant at Warm Springs Reservation, Jefferson County",Informal,Completed,"ESA-S7, Informal",,"Jun 30, 1999 12:00:00 AM",1999-06-30,1999-07-29,1999-08-20,,,,,,Steelhead,Middle Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Warm Springs Reservation, Jefferson County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Eastern Oregon Habitat Branch","Smith, Lance"
"3,079",NWR-1999-116,Denny Creek,Informal,Completed,"ESA-S7, Informal",,"May 19, 1995 12:00:00 AM",1995-05-19,1995-06-18,1995-08-11,,,,,,"Salmon, Chinook",Snake River spring/summer-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Portland, OR",,,"HCD, OSHO - Eastern Oregon Habitat Branch","Lindland, Ron"
"3,080",NWR-1999-116,Denny Creek,Informal,Completed,"ESA-S7, Informal",,"May 19, 1995 12:00:00 AM",1995-05-19,1995-06-18,1995-08-11,,,,,,"Salmon, Chinook",Snake River fall-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Portland, OR",,,"HCD, OSHO - Eastern Oregon Habitat Branch","Lindland, Ron"
"3,081",NWR-1999-1163,Diosbud Road Use Permit,Informal,Completed,"ESA-S7, Informal",,"Jun 23, 1999 12:00:00 AM",1999-06-23,1999-07-22,1999-07-28,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Skagit County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,082",NWR-1999-1168,"Dawson Property Estuarine Wetland Restoration, Umpqua Soil and Water Conservation District, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-12,1999-08-11,1999-08-05,,,,,,"Trout, cutthroat",Umpqua River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Smith River, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Bird, Frank"
"3,083",NWR-1999-1168,"Dawson Property Estuarine Wetland Restoration, Umpqua Soil and Water Conservation District, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Jul 12, 1999 12:00:00 AM",1999-07-12,1999-08-11,1999-08-05,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Smith River, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Bird, Frank"
"3,084",NWR-1999-1169,"Cooper Creek Bank Protection Project,Sutherlin, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Apr 20, 1999 12:00:00 AM",,,1999-08-04,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Cooper Creek, Southerlin, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,085",NWR-1999-1169,"Cooper Creek Bank Protection Project,Sutherlin, Douglas County",Informal,Completed,"ESA-S7, Informal",,"Apr 20, 1999 12:00:00 AM",,,1999-08-04,,,,,,"Trout, cutthroat",Umpqua River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Cooper Creek, Southerlin, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,086",NWR-1999-1170,"Rogue River Bank Stabilization Project, Curry County",Informal,Completed,"ESA-S7, Informal",,"May 10, 1999 12:00:00 AM",,,1999-08-03,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Rogue River (RM 1), Gold Beach, Curry County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Bird, Frank"
"3,087",NWR-1999-1171,"Reinitiation of Ongoing Actions in the Rogue River and Southern Oregon Coast, USFS and BLM",Informal,Completed,"ESA-S7, Informal",,"Mar 29, 1999 12:00:00 AM",1999-03-29,1999-04-28,1999-08-06,,,,,,"Salmon, coho",Southern Oregon/Northern California Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Southwest Province of Oregon,,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Burns, Craig"
"3,088",NWR-1999-1172,"Three Proposed Timber Sales: Sawyer Bridge/Bridge Toll, Sagaberd, and Cedar House, Umpqua River and Mill Creek Watersheds",Formal,Completed,"ESA-S7, Formal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-12-05,1999-08-11,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Umpqua River Basin, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,089",NWR-1999-1172,"Three Proposed Timber Sales: Sawyer Bridge/Bridge Toll, Sagaberd, and Cedar House, Umpqua River and Mill Creek Watersheds",Formal,Completed,"ESA-S7, Formal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-12-05,1999-08-11,,,,,,Steelhead,Oregon Coast,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Umpqua River Basin, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,090",NWR-1999-1172,"Three Proposed Timber Sales: Sawyer Bridge/Bridge Toll, Sagaberd, and Cedar House, Umpqua River and Mill Creek Watersheds",Formal,Completed,"ESA-S7, Formal",,"Jul 23, 1999 12:00:00 AM",1999-07-23,1999-12-05,1999-08-11,,,,,,"Trout, cutthroat",Umpqua River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Umpqua River Basin, Douglas County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,091",NWR-1999-1174,"Little Butte Creek Streambank Stabilization Project, Jackson County",Informal,Completed,"ESA-S7, Informal",,"Jun 28, 1999 12:00:00 AM",,,1999-08-03,,,,,,"Salmon, Chinook",Southern Oregon & Northern California Coastal,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Little Butte Creek, Eagle Point, Jackson County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,092",NWR-1999-1174,"Little Butte Creek Streambank Stabilization Project, Jackson County",Informal,Completed,"ESA-S7, Informal",,"Jun 28, 1999 12:00:00 AM",,,1999-08-03,,,,,,"Trout, cutthroat",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Little Butte Creek, Eagle Point, Jackson County, Oregon",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,093",NWR-1999-1175,"Boxler Creek Culvert Removal, Clatsop County",Informal,Completed,"ESA-S7, Informal",,"Jul 30, 1999 12:00:00 AM",1999-07-30,1999-08-29,1999-08-04,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Boxler Creek (RM 0.1) Fishhawk Lake, Clatsop County, Oregon",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch","Carlon, Scott"
"3,094",NWR-1999-1176,Schooner Creek Boat Works,Formal,Completed,"ESA-S7, Formal",,"Aug 2, 1999 12:00:00 AM",1999-08-02,1999-12-15,1999-09-02,,,,,,Steelhead,Lower Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia River mile 105.8,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,095",NWR-1999-1176,Schooner Creek Boat Works,Formal,Completed,"ESA-S7, Formal",,"Aug 2, 1999 12:00:00 AM",1999-08-02,1999-12-15,1999-09-02,,,,,,"Salmon, sockeye",Snake River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia River mile 105.8,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,096",NWR-1999-1176,Schooner Creek Boat Works,Formal,Completed,"ESA-S7, Formal",,"Aug 2, 1999 12:00:00 AM",1999-08-02,1999-12-15,1999-09-02,,,,,,"Salmon, chum",Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia River mile 105.8,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,097",NWR-1999-1176,Schooner Creek Boat Works,Formal,Completed,"ESA-S7, Formal",,"Aug 2, 1999 12:00:00 AM",1999-08-02,1999-12-15,1999-09-02,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia River mile 105.8,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
"3,098",NWR-1999-1176,Schooner Creek Boat Works,Formal,Completed,"ESA-S7, Formal",,"Aug 2, 1999 12:00:00 AM",1999-08-02,1999-12-15,1999-09-02,,,,,,"Salmon, Chinook",Upper Columbia River spring-run,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Columbia River mile 105.8,,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Meyer, Ben"
